[[] {1, C21},
 [] {10, C20},
 [] {100, C68},
 [] {101, C19},
 [] {102, C60},
 [] {103, C67},
 [] {104, C67},
 [] {105, C19},
 [] {106, C68},
 [] {107, C65},
 [] {109, C24},
 [] {11, C75},
 [] {110, C48},
 [] {111, C48},
 [] {112, C19},
 [] {113, C20},
 [] {114, C61},
 [] {115, C19},
 [] {116, C19},
 [] {117, C24},
 [] {118, C74},
 [] {119, C72},
 [] {82, C62},
 [] {83, C47},
 [] {84, C19},
 [] {85, C21},
 [] {86, C68},
 [] {87, C62},
 [] {88, C68},
 [] {89, C19},
 [] {9, C72},
 [] {90, C74},
 [] {91, C75},
 [] {92, C20},
 [] {93, C20},
 [] {94, C24},
 [] {95, C50},
 [] {96, C48},
 [] {97, C19},
 [] {98, C21},
 [] {99, C21},
 [] {669, C70},
 [] {67, C19},
 [] {670, C70},
 [] {671, C58},
 [] {672, C63},
 [] {68, C58},
 [] {69, C58},
 [] {7, C49},
 [] {70, C74},
 [] {71, C75},
 [] {72, C75},
 [] {73, C75},
 [] {74, C20},
 [] {75, C20},
 [] {76, C19},
 [] {77, C21},
 [] {78, C58},
 [] {79, C67},
 [] {8, C70},
 [] {80, C20},
 [] {647, C70},
 [] {648, C20},
 [] {649, C75},
 [] {65, C70},
 [] {650, C53},
 [] {651, C47},
 [] {652, C75},
 [] {653, C21},
 [] {654, C21},
 [] {655, C70},
 [] {656, C74},
 [] {657, C74},
 [] {658, C73},
 [] {659, C70},
 [] {66, C47},
 [] {660, C70},
 [] {661, C20},
 [] {662, C20},
 [] {663, C20},
 [] {664, C50},
 [] {665, C54},
 [] {666, C58},
 [] {667, C70},
 [] {628, C40},
 [] {629, C40},
 [] {63, C58},
 [] {630, C37},
 [] {631, C44},
 [] {632, C44},
 [] {633, C44},
 [] {634, C43},
 [] {635, C3},
 [] {636, C45},
 [] {637, C36},
 [] {638, C36},
 [] {639, C43},
 [] {64, C20},
 [] {640, C41},
 [] {641, C45},
 [] {642, C45},
 [] {643, C41},
 [] {644, C41},
 [] {645, C39},
 [] {12, C75},
 [] {140, C20},
 [] {16, C74},
 [] {18, C49},
 [] {199, C21},
 [] {217, C20},
 [] {236, C20},
 [] {258, C17},
 [] {277, C72},
 [] {296, C50},
 [] {314, C50},
 [] {333, C65},
 [] {353, C71},
 [] {372, C65},
 [] {391, C71},
 [] {41, C20},
 [] {429, C23},
 [] {450, C11},
 [] {47, C54},
 [] {49, C21},
 [] {509, C5},
 [] {528, C5},
 [] {55, C21},
 [] {57, C74},
 [] {589, C4},
 [] {607, C45},
 [] {627, C39},
 [] {646, C75},
 [] {668, C74},
 [] {81, C59},
 [] {608, C44},
 [] {609, C42},
 [] {61, C53},
 [] {610, C44},
 [] {611, C44},
 [] {612, C45},
 [] {613, C44},
 [] {614, C42},
 [] {615, C46},
 [] {616, C37},
 [] {617, C41},
 [] {618, C39},
 [] {619, C46},
 [] {62, C20},
 [] {620, C46},
 [] {621, C39},
 [] {622, C46},
 [] {623, C37},
 [] {624, C39},
 [] {625, C37},
 [] {626, C37},
 [] {59, C53},
 [] {591, C27},
 [] {592, C26},
 [] {593, C26},
 [] {594, C26},
 [] {595, C39},
 [] {596, C28},
 [] {597, C33},
 [] {598, C33},
 [] {599, C27},
 [] {6, C21},
 [] {60, C20},
 [] {600, C42},
 [] {601, C43},
 [] {602, C43},
 [] {603, C40},
 [] {604, C40},
 [] {605, C45},
 [] {606, C42},
 [] {570, C28},
 [] {571, C2},
 [] {572, C2},
 [] {573, C38},
 [] {574, C2},
 [] {575, C2},
 [] {576, C2},
 [] {577, C28},
 [] {578, C3},
 [] {579, C7},
 [] {58, C54},
 [] {580, C51},
 [] {581, C1},
 [] {582, C6},
 [] {583, C7},
 [] {584, C28},
 [] {585, C38},
 [] {586, C6},
 [] {587, C6},
 [] {588, C26},
 [] {550, C3},
 [] {551, C6},
 [] {552, C39},
 [] {553, C6},
 [] {554, C37},
 [] {555, C7},
 [] {556, C4},
 [] {557, C6},
 [] {558, C7},
 [] {559, C6},
 [] {56, C70},
 [] {560, C7},
 [] {561, C3},
 [] {562, C4},
 [] {563, C6},
 [] {564, C3},
 [] {565, C3},
 [] {566, C3},
 [] {567, C66},
 [] {568, C2},
